Gradler;des is oana wia du;a person like you
Fahrgsteinumma;a numma für dein Koan;VIN
guad;wenn ois basst;if everything is alright
koa;goa nix;nothing
gscheid;des war da Albert Einstein a;intelligent
damischer;nach 5 Maß bist damisch;if you drink too much or your crazy
dei;des gehört dia;your
Emissionwert;des kimmt aus deim Koan ausa;comes out of your car
Koan;dein Wagen;a car
Maß;a Bier;bavarian beer degree
